codigo_super_cias,etiqueta,actividad,columna,categoria
10102020208,CERTIFICADOS DE DEPÓSITO,INVERSION,Y,Total Actividades de Inversión
10102020209,CUPONES,INVERSION,Y,Total Actividades de Inversión
10102020210,DEPÓSITOS A PLAZO,INVERSION,Y,Total Actividades de Inversión
10102020211,LETRAS DE CAMBIO,INVERSION,Y,Total Actividades de Inversión
10102020212,NOTAS DE CRÉDITO,INVERSION,Y,Total Actividades de Inversión
10102020213,OBLIGACIONES,INVERSION,Y,Total Actividades de Inversión
10102020214,FACTURAS COMERCIALES NEGOCIABLES,INVERSION,Y,Total Actividades de Inversión
10102020215,OVERNIGHTS,INVERSION,Y,Total Actividades de Inversión
10102020216,OBLIGACIONES CONVERTIBLES EN ACCIONES,INVERSION,Y,Total Actividades de Inversión
10102020217,PAPEL COMERCIAL,INVERSION,Y,Total Actividades de Inversión
10102020218,PAGARÉS,INVERSION,Y,Total Actividades de Inversión
10102020219,PÓLIZAS DE ACUMULACIÓN,INVERSION,Y,Total Actividades de Inversión
10102020220,TÍTULOS DEL BANCO CENTRAL,INVERSION,Y,Total Actividades de Inversión
10102020221,VALORES DE TITULARIZACIÓN,INVERSION,Y,Total Actividades de Inversión
10102020222,INVERSIONES EN EL EXTERIOR,INVERSION,Y,Total Actividades de Inversión
10102020223,OTROS,INVERSION,Y,Total Actividades de Inversión
10102030201,AVALES,INVERSION,Y,Total Actividades de Inversión
10102030202,BONOS DEL ESTADO,INVERSION,Y,Total Actividades de Inversión
10102030203,BONOS DE PRENDA,INVERSION,Y,Total Actividades de Inversión
10102030204,CÉDULAS HIPOTECARIAS,INVERSION,Y,Total Actividades de Inversión
10102030205,CERTIFICADOS FINANCIEROS,INVERSION,Y,Total Actividades de Inversión
10102030206,CERTIFICADOS DE INVERSIÓN,INVERSION,Y,Total Actividades de Inversión
10102030207,CERTIFICADOS DE TESORERÍA,INVERSION,Y,Total Actividades de Inversión
10102030208,CERTIFICADOS DE DEPÓSITO,INVERSION,Y,Total Actividades de Inversión
10102030209,CUPONES,INVERSION,Y,Total Actividades de Inversión
10102030210,DEPÓSITOS A PLAZO,INVERSION,Y,Total Actividades de Inversión
10102030211,LETRAS DE CAMBIO,INVERSION,Y,Total Actividades de Inversión
